step,checkpoint_save_step,epoch,grad_norm,learning_rate,train_loss,total_flos,avg_train_loss,train_runtime,train_samples_per_second,train_steps_per_second,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
1,,0.008,43.448116302490234,0.0001,4.6751,,,,,,,,,
2,,0.016,34.42728042602539,9.9984209464165E-05,3.4606,,,,,,,,,
3,,0.024,29.861337661743164,9.993684783030088E-05,2.9381,,,,,,,,,
4,,0.032,18.595815658569336,9.98579450130307E-05,1.9183,,,,,,,,,
5,,0.04,11.612857818603516,9.974755084906502E-05,0.9943,,,,,,,,,
6,,0.048,5.084555149078369,9.96057350657239E-05,0.7988,,,,,,,,,
7,,0.056,3.4964230060577393,9.94325872368957E-05,0.7369,,,,,,,,,
8,,0.064,3.288330554962158,9.922821672646027E-05,0.786,,,,,,,,,
9,,0.072,2.868403673171997,9.899275261921234E-05,0.8609,,,,,,,,,
10,,0.08,2.31951642036438,9.872634363932887E-05,0.7596,,,,,,,,,
11,,0.088,2.219212532043457,9.842915805643155E-05,0.7351,,,,,,,,,
12,,0.096,3.0353550910949707,9.81013835793043E-05,0.8123,,,,,,,,,
13,,0.104,2.209498882293701,9.774322723733216E-05,0.6836,,,,,,,,,
14,,0.112,2.538078784942627,9.735491524973722E-05,0.7727,,,,,,,,,
15,,0.12,3.3655147552490234,9.693669288269372E-05,0.7311,,,,,,,,,
16,,0.128,3.1785387992858887,9.648882429441257E-05,0.8123,,,,,,,,,
17,,0.136,3.1522483825683594,9.601159236829352E-05,0.8414,,,,,,,,,
18,,0.144,2.5494425296783447,9.550529853424979E-05,0.7335,,,,,,,,,
19,,0.152,2.663536787033081,9.497026257831855E-05,0.8108,,,,,,,,,
20,,0.16,2.396738290786743,9.440682244067724E-05,0.8478,,,,,,,,,
21,,0.168,2.5094497203826904,9.381533400219318E-05,0.7967,,,,,,,,,
22,,0.176,2.4613497257232666,9.319617085964176E-05,0.7268,,,,,,,,,
23,,0.184,2.0596063137054443,9.254972408973461E-05,0.7413,,,,,,,,,
24,,0.192,2.0318665504455566,9.18764020021071E-05,0.7263,,,,,,,,,
25,,0.2,2.1857199668884277,9.117662988142138E-05,0.7611,,,,,,,,,
26,,0.208,2.186070680618286,9.045084971874738E-05,0.7414,,,,,,,,,
27,,0.216,1.9188868999481201,8.969951993239177E-05,0.6888,,,,,,,,,
28,,0.224,2.020866870880127,8.892311507835119E-05,0.7854,,,,,,,,,
29,,0.232,1.8540858030319214,8.81221255505724E-05,0.674,,,,,,,,,
30,,0.24,1.8198556900024414,8.729705727120911E-05,0.6615,,,,,,,,,
31,,0.248,2.090290069580078,8.644843137107059E-05,0.7257,,,,,,,,,
32,,0.256,2.566521167755127,8.557678386046428E-05,0.7641,,,,,,,,,
33,,0.264,2.225393295288086,8.468266529064025E-05,0.6561,,,,,,,,,
34,,0.272,2.3682339191436768,8.376664040605122E-05,0.7534,,,,,,,,,
35,,0.28,2.1502978801727295,8.282928778764783E-05,0.683,,,,,,,,,
36,,0.288,2.0421173572540283,8.18711994874345E-05,0.756,,,,,,,,,
37,,0.296,2.239655017852783,8.089298065451672E-05,0.7372,,,,,,,,,
38,,0.304,3.3934340476989746,7.989524915287595E-05,0.9125,,,,,,,,,
